Name,Description,semantic
"abrt-action-check-oops-for-hw-error - Checks dmesg element, marksproblem as not-reportable if hardware error is detected","The tool reads dmesg element, and if it has a message which indicateshardware error, it creates not-reportable and comment elements whichexplain what this error is and how it can be diagnosed further.","abrt-action-check-oops-for-hw-error - Checks dmesg element, marksproblem as not-reportable if hardware error is detected The tool reads dmesg element, and if it has a message which indicateshardware error, it creates not-reportable and comment elements whichexplain what this error is and how it can be diagnosed further."
"abrt-action-generate-backtrace - Analyzes coredump, generates and savesbacktrace.",This tool runs gdb(1) on a file named coredump in problem directoryDIR. gdb(1) generates backtrace and other diagnostic information aboutthe state of the application at the moment when coredump was generated.,"abrt-action-generate-backtrace - Analyzes coredump, generates and savesbacktrace. This tool runs gdb(1) on a file named coredump in problem directoryDIR. gdb(1) generates backtrace and other diagnostic information aboutthe state of the application at the moment when coredump was generated."
abrt-action-generate-core-backtrace - Generates coredump-levelbacktrace,This tool uses coredump from the file coredump and binary at the pathstored in file executable in the problem directory to generatecoredump-level backtrace.,abrt-action-generate-core-backtrace - Generates coredump-levelbacktrace This tool uses coredump from the file coredump and binary at the pathstored in file executable in the problem directory to generatecoredump-level backtrace.
abrt-action-install-debuginfo - Install debuginfos for build-ids,"Installs debuginfos for all build-ids listed in BUILD_IDS_FILE toCACHEDIR, using TMPDIR as temporary staging area. Old files in CACHEDIRare deleted until it is smaller than SIZE.","abrt-action-install-debuginfo - Install debuginfos for build-ids Installs debuginfos for all build-ids listed in BUILD_IDS_FILE toCACHEDIR, using TMPDIR as temporary staging area. Old files in CACHEDIRare deleted until it is smaller than SIZE."
abrt-action-list-dsos - Prints out DSO from mapped memory regions.,The tool reads a file containing the mapped memory regions. Output isprinted to stdout or file.,abrt-action-list-dsos - Prints out DSO from mapped memory regions. The tool reads a file containing the mapped memory regions. Output isprinted to stdout or file.
abrt-action-notify - Announces a new occurrence of problem via allaccessible channels,The current implementation emits a D-Bus signal on System bus in path/org/freedesktop/problems of org.freedesktop.problems interface forCrash member.,abrt-action-notify - Announces a new occurrence of problem via allaccessible channels The current implementation emits a D-Bus signal on System bus in path/org/freedesktop/problems of org.freedesktop.problems interface forCrash member.
abrt-action-perform-ccpp-analysis - Allows users to select acceptableway of core dump analysis,This tool allows user to select between local and remote core dumpanalysis. The local analysis may require to download huge amount ofdata but is completely safe. On the contrary the remote analysis only,abrt-action-perform-ccpp-analysis - Allows users to select acceptableway of core dump analysis This tool allows user to select between local and remote core dumpanalysis. The local analysis may require to download huge amount ofdata but is completely safe. On the contrary the remote analysis only
abrt-action-save-kernel-data - Creates uReport mandatory files forkernel oopses.,"The tool reads problem directory DIR. It analyzes contents of kernelelement, checks database of installed packages, and creates newelements pkg_name, pkg_arch, pkg_version, pkg_release.","abrt-action-save-kernel-data - Creates uReport mandatory files forkernel oopses. The tool reads problem directory DIR. It analyzes contents of kernelelement, checks database of installed packages, and creates newelements pkg_name, pkg_arch, pkg_version, pkg_release."
abrt-action-save-package-data - Query package database and save packageand component name.,"The tool reads problem directory DIR. It analyzes contents of analyzer,executable, cmdline and remote elements, checks database of installedpackages, and creates new elements package and component.","abrt-action-save-package-data - Query package database and save packageand component name. The tool reads problem directory DIR. It analyzes contents of analyzer,executable, cmdline and remote elements, checks database of installedpackages, and creates new elements package and component."
abrt-action-trim-files - Deletes old problem directories or files inspecified directories until they are smaller than specified size.,,abrt-action-trim-files - Deletes old problem directories or files inspecified directories until they are smaller than specified size. nan
"abrt-cli - List, remove, print, analyze, report problems",,"abrt-cli - List, remove, print, analyze, report problems nan"
abrt-dump-oops - Extract oops from FILE (or standard input),"This tool creates problem directory from, updates problem directorywith or prints oops extracted from FILE or standard input.","abrt-dump-oops - Extract oops from FILE (or standard input) This tool creates problem directory from, updates problem directorywith or prints oops extracted from FILE or standard input."
abrt-dump-xorg - Extract Xorg crash from FILE (or standard input),This tool creates problem directory from or prints Xorg crash extractedfrom FILE or standard input.,abrt-dump-xorg - Extract Xorg crash from FILE (or standard input) This tool creates problem directory from or prints Xorg crash extractedfrom FILE or standard input.
abrt-handle-upload - Unpacks and moves problem data.,"The tool unpacks FILENAME located in UPLOAD_DIR and moves the problemdata found in it to ABRT_DIR. It supports unpacking tarballs compressedby gzip, bzip2 or xz. It’s called by abrtd when a new file is noticed","abrt-handle-upload - Unpacks and moves problem data. The tool unpacks FILENAME located in UPLOAD_DIR and moves the problemdata found in it to ABRT_DIR. It supports unpacking tarballs compressedby gzip, bzip2 or xz. It’s called by abrtd when a new file is noticed"
abrt-merge-pstoreoops - Scans files for split oops message. Can printand/or delete them.,"This tool takes list of files, reads all of the files, scans them forsplit oops messages and join oops parts to original oops message.","abrt-merge-pstoreoops - Scans files for split oops message. Can printand/or delete them. This tool takes list of files, reads all of the files, scans them forsplit oops messages and join oops parts to original oops message."
abrt-retrace-client - Handles the communication with Retrace server.,"This tool is able to communicate with Retrace server: create a newtask, ask about task’s status, download log or backtrace of a finishedtask.","abrt-retrace-client - Handles the communication with Retrace server. This tool is able to communicate with Retrace server: create a newtask, ask about task’s status, download log or backtrace of a finishedtask."
abrt-watch-log - Watch log file and run command when it grows or isreplaced,,abrt-watch-log - Watch log file and run command when it grows or isreplaced nan
abs2rel - convert absolute path to relative path,The abs2rel command takes exactly two arguments - a destination pathand a base path. It determines relative path from the base path to thedestination path and prints it on standard output.,abs2rel - convert absolute path to relative path The abs2rel command takes exactly two arguments - a destination pathand a base path. It determines relative path from the base path to thedestination path and prints it on standard output.
ac - print statistics about users' connect time,ac prints out a report of connect time (in hours) based on the lo‐gins/logouts in the current wtmp file. A total is also printed out.,ac - print statistics about users' connect time ac prints out a report of connect time (in hours) based on the lo‐gins/logouts in the current wtmp file. A total is also printed out.
addr2line - convert addresses into file names and line numbers.,"addr2line translates addresses into file names and line numbers. Givenan address in an executable or an offset in a section of a relocatableobject, it uses the debugging information to figure out which file name","addr2line - convert addresses into file names and line numbers. addr2line translates addresses into file names and line numbers. Givenan address in an executable or an offset in a section of a relocatableobject, it uses the debugging information to figure out which file name"
"bash, :, ., [, alias, bg, bind, break, builtin, caller, cd, command,compgen, complete, compopt, continue, declare, dirs, disown, echo,enable, eval, exec, exit, export, false, fc, fg, getopts, hash, help,history, jobs, kill, let, local, logout, mapfile, popd, printf, pushd,pwd, read, readonly, return, set, shift, shopt, source, suspend, test,times, trap, true, type, typeset, ulimit, umask, unalias, unset, wait -bash built-in commands, see bash(1)",,"bash, :, ., [, alias, bg, bind, break, builtin, caller, cd, command,compgen, complete, compopt, continue, declare, dirs, disown, echo,enable, eval, exec, exit, export, false, fc, fg, getopts, hash, help,history, jobs, kill, let, local, logout, mapfile, popd, printf, pushd,pwd, read, readonly, return, set, shift, shopt, source, suspend, test,times, trap, true, type, typeset, ulimit, umask, unalias, unset, wait -bash built-in commands, see bash(1) nan"
appletviewer - Runs applets outside of a web browser.,The appletviewer command connects to the documents or resourcesdesignated by urls and displays each applet referenced by the documentsin its own window. If the documents referred to by urls do not,appletviewer - Runs applets outside of a web browser. The appletviewer command connects to the documents or resourcesdesignated by urls and displays each applet referenced by the documentsin its own window. If the documents referred to by urls do not
applydeltarpm - reconstruct an rpm from a deltarpm,"applydeltarpm applies a binary delta to either an old rpm or to on-diskdata to re-create a new rpm. The old rpm can be specified with the -roption, if no rpm name is provided on-disk data is used. You can use -p","applydeltarpm - reconstruct an rpm from a deltarpm applydeltarpm applies a binary delta to either an old rpm or to on-diskdata to re-create a new rpm. The old rpm can be specified with the -roption, if no rpm name is provided on-disk data is used. You can use -p"
apropos - search the manual page names and descriptions,Each manual page has a short description available within it. apropossearches the descriptions for instances of keyword.,apropos - search the manual page names and descriptions Each manual page has a short description available within it. apropossearches the descriptions for instances of keyword.
"ar - create, modify, and extract from archives","The GNU ar program creates, modifies, and extracts from archives. Anarchive is a single file holding a collection of other files in astructure that makes it possible to retrieve the original individual","ar - create, modify, and extract from archives The GNU ar program creates, modifies, and extracts from archives. Anarchive is a single file holding a collection of other files in astructure that makes it possible to retrieve the original individual"
arch - print machine hardware name (same as uname -m),Print machine architecture.--help display this help and exit,arch - print machine hardware name (same as uname -m) Print machine architecture.--help display this help and exit
AS - the portable GNU assembler.,"GNU as is really a family of assemblers. If you use (or have used) theGNU assembler on one architecture, you should find a fairly similarenvironment when you use it on another architecture. Each version has","AS - the portable GNU assembler. GNU as is really a family of assemblers. If you use (or have used) theGNU assembler on one architecture, you should find a fairly similarenvironment when you use it on another architecture. Each version has"
"at, batch, atq, atrm - queue, examine or delete jobs for later execu‐tion","at and batch read commands from standard input or a specified filewhich are to be executed at a later time, using /bin/sh.","at, batch, atq, atrm - queue, examine or delete jobs for later execu‐tion at and batch read commands from standard input or a specified filewhich are to be executed at a later time, using /bin/sh."
attr - extended attributes on XFS filesystem objects,The attr utility allows the manipulation of extended attributes associ‐ated with filesystem objects from within shell scripts.,attr - extended attributes on XFS filesystem objects The attr utility allows the manipulation of extended attributes associ‐ated with filesystem objects from within shell scripts.
audit2allow - generate SELinux policy allow/dontaudit rules from logsof denied operationsaudit2why - translates SELinux audit messages into a description of whythe access was denied (audit2allow -w),"This utility scans the logs for messages logged when the system deniedpermission for operations, and generates a snippet of policy ruleswhich, if loaded into policy, might have allowed those operations to","audit2allow - generate SELinux policy allow/dontaudit rules from logsof denied operationsaudit2why - translates SELinux audit messages into a description of whythe access was denied (audit2allow -w) This utility scans the logs for messages logged when the system deniedpermission for operations, and generates a snippet of policy ruleswhich, if loaded into policy, might have allowed those operations to"
aulast - a program similar to last,aulast is a program that prints out a listing of the last logged inusers similarly to the program last and lastb. Aulast searches backthrough the audit logs or the given audit log file and displays a list,aulast - a program similar to last aulast is a program that prints out a listing of the last logged inusers similarly to the program last and lastb. Aulast searches backthrough the audit logs or the given audit log file and displays a list
aulastlog - a program similar to lastlog,"aulastlog is a program that prints out the last login for all users ofthe local machine similar to the way lastlog does. The login-name,port, and last login time will be printed.","aulastlog - a program similar to lastlog aulastlog is a program that prints out the last login for all users ofthe local machine similar to the way lastlog does. The login-name,port, and last login time will be printed."
ausyscall - a program that allows mapping syscall names and numbers,"ausyscall is a program that prints out the mapping from syscall name tonumber and reverse for the given arch. The arch can be anythingreturned by `uname -m`. If arch is not given, the program will take a","ausyscall - a program that allows mapping syscall names and numbers ausyscall is a program that prints out the mapping from syscall name tonumber and reverse for the given arch. The arch can be anythingreturned by `uname -m`. If arch is not given, the program will take a"
auvirt - a program that shows data related to virtual machines,"auvirt shows a list of guest sessions found in the audit logs. If aguest is specified, only the events related to that guest is consid‐ered. To specify a guest, both UUID or VM name can be given.","auvirt - a program that shows data related to virtual machines auvirt shows a list of guest sessions found in the audit logs. If aguest is specified, only the events related to that guest is consid‐ered. To specify a guest, both UUID or VM name can be given."
gawk - pattern scanning and processing language,Gawk is the GNU Project's implementation of the AWK programming lan‐guage. It conforms to the definition of the language in the POSIX1003.1 Standard. This version in turn is based on the description in,gawk - pattern scanning and processing language Gawk is the GNU Project's implementation of the AWK programming lan‐guage. It conforms to the definition of the language in the POSIX1003.1 Standard. This version in turn is based on the description in
base64 - base64 encode/decode data and print to standard output,"Base64 encode or decode FILE, or standard input, to standard output.Mandatory arguments to long options are mandatory for short options","base64 - base64 encode/decode data and print to standard output Base64 encode or decode FILE, or standard input, to standard output.Mandatory arguments to long options are mandatory for short options"
basename - strip directory and suffix from filenames,"Print NAME with any leading directory components removed. If speci‐fied, also remove a trailing SUFFIX.","basename - strip directory and suffix from filenames Print NAME with any leading directory components removed. If speci‐fied, also remove a trailing SUFFIX."
bash - GNU Bourne-Again SHell,Bash is an sh-compatible command language interpreter that executescommands read from the standard input or from a file. Bash also incor‐porates useful features from the Korn and C shells (ksh and csh).,bash - GNU Bourne-Again SHell Bash is an sh-compatible command language interpreter that executescommands read from the standard input or from a file. Bash also incor‐porates useful features from the Korn and C shells (ksh and csh).
bashbug - report a bug in bash,bashbug is a shell script to help the user compose and mail bug reportsconcerning bash in a standard format. bashbug invokes the editor spec‐ified by the environment variable EDITOR on a temporary copy of the bug,bashbug - report a bug in bash bashbug is a shell script to help the user compose and mail bug reportsconcerning bash in a standard format. bashbug invokes the editor spec‐ified by the environment variable EDITOR on a temporary copy of the bug
bc - An arbitrary precision calculator language,bc is a language that supports arbitrary precision numbers with inter‐active execution of statements. There are some similarities in thesyntax to the C programming language. A standard math library is,bc - An arbitrary precision calculator language bc is a language that supports arbitrary precision numbers with inter‐active execution of statements. There are some similarities in thesyntax to the C programming language. A standard math library is
bdftopcf - convert X font from Bitmap Distribution Format to PortableCompiled Format,"Bdftopcf is a font compiler for the X server and font server. Fonts inPortable Compiled Format can be read by any architecture, although thefile is structured to allow one particular architecture to read them","bdftopcf - convert X font from Bitmap Distribution Format to PortableCompiled Format Bdftopcf is a font compiler for the X server and font server. Fonts inPortable Compiled Format can be read by any architecture, although thefile is structured to allow one particular architecture to read them"
bdftruncate - generate truncated BDF font from ISO 10646-1-encoded BDFfont,bdftruncate allows one to generate from an ISO10646-1 encoded BDF fontother ISO10646-1 BDF fonts in which all characters above a thresholdcode value are stored unencoded. This is often desirable because the,bdftruncate - generate truncated BDF font from ISO 10646-1-encoded BDFfont bdftruncate allows one to generate from an ISO10646-1 encoded BDF fontother ISO10646-1 BDF fonts in which all characters above a thresholdcode value are stored unencoded. This is often desirable because the
blkiomon - monitor block device I/O based o blktrace data,blkiomon is a block device I/O monitor. It periodically generates per-device request size and request latency statistics from blktrace data.It provides histograms as well as data that can be used to calculate,blkiomon - monitor block device I/O based o blktrace data blkiomon is a block device I/O monitor. It periodically generates per-device request size and request latency statistics from blktrace data.It provides histograms as well as data that can be used to calculate
blkparse - produce formatted output of event streams of block devices,"The blkparse utility will attempt to combine streams of events for var‐ious devices on various CPUs, and produce a formatted output of theevent information. Specifically, it will take the (machine-readable)","blkparse - produce formatted output of event streams of block devices The blkparse utility will attempt to combine streams of events for var‐ious devices on various CPUs, and produce a formatted output of theevent information. Specifically, it will take the (machine-readable)"
blkrawverify - verifies an output file produced by blkparse,"The blkrawverify utility can be used to verify data retrieved via blk‐trace. It will check for valid event formats, forward progressingsequence numbers and time stamps, also does reasonable checks for other","blkrawverify - verifies an output file produced by blkparse The blkrawverify utility can be used to verify data retrieved via blk‐trace. It will check for valid event formats, forward progressingsequence numbers and time stamps, also does reasonable checks for other"
blktrace - generate traces of the i/o traffic on block devices,"blktrace is a block layer IO tracing mechanism which provides detailedinformation about request queue operations up to user space. There arethree major components: a kernel component, a utility to record the i/o","blktrace - generate traces of the i/o traffic on block devices blktrace is a block layer IO tracing mechanism which provides detailedinformation about request queue operations up to user space. There arethree major components: a kernel component, a utility to record the i/o"
bond2team — Converts bonding configuration to team,bond2team is a tool to convert bonding options to team trying as muchas possible to keep the original functionality.,bond2team — Converts bonding configuration to team bond2team is a tool to convert bonding options to team trying as muchas possible to keep the original functionality.
bootctl - Control the firmware and boot manager settings,bootctl may be used to query or (in the future) change the firmware andboot manager settings.,bootctl - Control the firmware and boot manager settings bootctl may be used to query or (in the future) change the firmware andboot manager settings.
btrace - perform live tracing for block devices,The btrace script provides a quick and easy way to do live tracing ofblock devices. It calls blktrace on the specified devices and pipesthe output through blkparse for formatting. See blktrace (8) for more,btrace - perform live tracing for block devices The btrace script provides a quick and easy way to do live tracing ofblock devices. It calls blktrace on the specified devices and pipesthe output through blkparse for formatting. See blktrace (8) for more
btrecord - recreate IO loads recorded by blktrace,"The btrecord and btreplay tools provide the ability to record andreplay IOs captured by the blktrace utility. Attempts are made to main‐tain ordering, CPU mappings and time-separation of IOs.","btrecord - recreate IO loads recorded by blktrace The btrecord and btreplay tools provide the ability to record andreplay IOs captured by the blktrace utility. Attempts are made to main‐tain ordering, CPU mappings and time-separation of IOs."
btreplay - recreate IO loads recorded by blktrace,"The btrecord and btreplay tools provide the ability to record andreplay IOs captured by the blktrace utility. Attempts are made to main‐tain ordering, CPU mappings and time-separation of IOs.","btreplay - recreate IO loads recorded by blktrace The btrecord and btreplay tools provide the ability to record andreplay IOs captured by the blktrace utility. Attempts are made to main‐tain ordering, CPU mappings and time-separation of IOs."
btt - analyse block i/o traces produces by blktrace,"btt is a post-processing tool for the block layer IO tracing toolcalled blktrace(8). As noted in its documentation, blktrace is a blocklayer IO tracing mechanism which provides detailed information about","btt - analyse block i/o traces produces by blktrace btt is a post-processing tool for the block layer IO tracing toolcalled blktrace(8). As noted in its documentation, blktrace is a blocklayer IO tracing mechanism which provides detailed information about"
build-classpath - build a Java CLASSPATH,Small utility to build a Java CLASSPATH with the named JARs or Mavenartifact coordinates. Artifact coordinates specify Maven artifact andare in format groupId:artifactId[:extension[:classifier]]:version. If,build-classpath - build a Java CLASSPATH Small utility to build a Java CLASSPATH with the named JARs or Mavenartifact coordinates. Artifact coordinates specify Maven artifact andare in format groupId:artifactId[:extension[:classifier]]:version. If
build-jar-repository - create a symbolic link to a JAR,Build a JAR repository in the named directory by copying files orcreating symbolic links. The JARs can be identified by their names orMaven artifact coordinates. Artifact coordinates specify Maven artifact,build-jar-repository - create a symbolic link to a JAR Build a JAR repository in the named directory by copying files orcreating symbolic links. The JARs can be identified by their names orMaven artifact coordinates. Artifact coordinates specify Maven artifact
"bzip2, bunzip2 - a block-sorting file compressor, v1.0.6bzcat - decompresses files to stdoutbzip2recover - recovers data from damaged bzip2 files","bzip2 compresses files using the Burrows-Wheeler block sorting textcompression algorithm, and Huffman coding. Compression is generallyconsiderably better than that achieved by more conventional","bzip2, bunzip2 - a block-sorting file compressor, v1.0.6bzcat - decompresses files to stdoutbzip2recover - recovers data from damaged bzip2 files bzip2 compresses files using the Burrows-Wheeler block sorting textcompression algorithm, and Huffman coding. Compression is generallyconsiderably better than that achieved by more conventional"
busctl - Introspect the bus,busctl may be used to introspect and monitor the D-Bus bus.,busctl - Introspect the bus busctl may be used to introspect and monitor the D-Bus bus.
"bzcmp, bzdiff - compare bzip2 compressed files","Bzcmp and bzdiff are used to invoke the cmp or the diff program onbzip2 compressed files. All options specified are passed directly tocmp or diff. If only 1 file is specified, then the files compared are","bzcmp, bzdiff - compare bzip2 compressed files Bzcmp and bzdiff are used to invoke the cmp or the diff program onbzip2 compressed files. All options specified are passed directly tocmp or diff. If only 1 file is specified, then the files compared are"
"bzgrep, bzfgrep, bzegrep - search possibly bzip2 compressed files for aregular expression","Bzgrep is used to invoke the grep on bzip2-compressed files. Alloptions specified are passed directly to grep. If no file is speci‐fied, then the standard input is decompressed if necessary and fed to","bzgrep, bzfgrep, bzegrep - search possibly bzip2 compressed files for aregular expression Bzgrep is used to invoke the grep on bzip2-compressed files. Alloptions specified are passed directly to grep. If no file is speci‐fied, then the standard input is decompressed if necessary and fed to"
"bzmore, bzless - file perusal filter for crt viewing of bzip2 com‐pressed text",Bzmore is a filter which allows examination of compressed or plain textfiles one screenful at a time on a soft-copy terminal. bzmore works onfiles compressed with bzip2 and also on uncompressed files. If a file,"bzmore, bzless - file perusal filter for crt viewing of bzip2 com‐pressed text Bzmore is a filter which allows examination of compressed or plain textfiles one screenful at a time on a soft-copy terminal. bzmore works onfiles compressed with bzip2 and also on uncompressed files. If a file"
c++filt - Demangle C++ and Java symbols.,"The C++ and Java languages provide function overloading, which meansthat you can write many functions with the same name, providing thateach function takes parameters of different types. In order to be able","c++filt - Demangle C++ and Java symbols. The C++ and Java languages provide function overloading, which meansthat you can write many functions with the same name, providing thateach function takes parameters of different types. In order to be able"
"c2ph, pstruct - Dump C structures as generated from ""cc -g -S"" stabs",The following is the old c2ph.doc documentation by Tom Christiansen<tchrist@perl.com> Date: 25 Jul 91 08:10:21 GMT,"c2ph, pstruct - Dump C structures as generated from ""cc -g -S"" stabs The following is the old c2ph.doc documentation by Tom Christiansen<tchrist@perl.com> Date: 25 Jul 91 08:10:21 GMT"
c99 - compile standard C programs,The c99 utility is an interface to the standard C compilation system;it shall accept source code conforming to the ISO C standard. The sys‐tem conceptually consists of a compiler and link editor. The files ref‐,c99 - compile standard C programs The c99 utility is an interface to the standard C compilation system;it shall accept source code conforming to the ISO C standard. The sys‐tem conceptually consists of a compiler and link editor. The files ref‐
ca-legacy - Manage the system configuration for legacy CA certificates,ca-legacy(8) is used to include or exclude a set of legacy CertificateAuthority (CA) certificates in the system’s list of trusted CAcertificates.,ca-legacy - Manage the system configuration for legacy CA certificates ca-legacy(8) is used to include or exclude a set of legacy CertificateAuthority (CA) certificates in the system’s list of trusted CAcertificates.
cal - display a calendar,"cal displays a simple calendar. If no arguments are specified, thecurrent month is displayed.","cal - display a calendar cal displays a simple calendar. If no arguments are specified, thecurrent month is displayed."
cancel - cancel jobs,cancel cancels existing print jobs. The -a option will remove all jobsfrom the specified destination.,cancel - cancel jobs cancel cancels existing print jobs. The -a option will remove all jobsfrom the specified destination.
captoinfo - convert a termcap description into a terminfo description,"captoinfo looks in each given text file for termcap descriptions. Foreach one found, an equivalent terminfo description is written to stan‐dard output. Termcap tc capabilities are translated directly to ter‐","captoinfo - convert a termcap description into a terminfo description captoinfo looks in each given text file for termcap descriptions. Foreach one found, an equivalent terminfo description is written to stan‐dard output. Termcap tc capabilities are translated directly to ter‐"
cat - concatenate files and print on the standard output,"Concatenate FILE(s), or standard input, to standard output.-A, --show-all","cat - concatenate files and print on the standard output Concatenate FILE(s), or standard input, to standard output.-A, --show-all"
catman - create or update the pre-formatted manual pages,"catman is used to create an up to date set of pre-formatted manualpages known as cat pages. Cat pages are generally much faster to dis‐play than the original manual pages, but require extra storage space.","catman - create or update the pre-formatted manual pages catman is used to create an up to date set of pre-formatted manualpages known as cat pages. Cat pages are generally much faster to dis‐play than the original manual pages, but require extra storage space."
certmaster-getcert,"The certmaster-getcert tool issues requests to a org.fedorahosted.cert‐monger service on behalf of the invoking user. It can ask the serviceto begin enrollment, optionally generating a key pair to use, it can","certmaster-getcert The certmaster-getcert tool issues requests to a org.fedorahosted.cert‐monger service on behalf of the invoking user. It can ask the serviceto begin enrollment, optionally generating a key pair to use, it can"
certutil - Manage keys and certificate in both NSS databases and otherNSS tokens,"The Certificate Database Tool, certutil, is a command-line utility thatcan create and modify certificate and key databases. It canspecifically list, generate, modify, or delete certificates, create or","certutil - Manage keys and certificate in both NSS databases and otherNSS tokens The Certificate Database Tool, certutil, is a command-line utility thatcan create and modify certificate and key databases. It canspecifically list, generate, modify, or delete certificates, create or"
chacl - change the access control list of a file or directory,"chacl is an IRIX-compatibility command, and is maintained for thoseusers who are familiar with its use from either XFS or IRIX. Refer tothe SEE ALSO section below for a description of tools which conform","chacl - change the access control list of a file or directory chacl is an IRIX-compatibility command, and is maintained for thoseusers who are familiar with its use from either XFS or IRIX. Refer tothe SEE ALSO section below for a description of tools which conform"
chage - change user password expiry information,The chage command changes the number of days between password changesand the date of the last password change. This information is used bythe system to determine when a user must change his/her password.,chage - change user password expiry information The chage command changes the number of days between password changesand the date of the last password change. This information is used bythe system to determine when a user must change his/her password.
chainsaw - GUI based log viewer,"Chainsaw is a GUI based log viewer, a companion application to Log4jwritten by members of the Log4j development community.","chainsaw - GUI based log viewer Chainsaw is a GUI based log viewer, a companion application to Log4jwritten by members of the Log4j development community."
chattr - change file attributes on a Linux file system,chattr changes the file attributes on a Linux file system.The format of a symbolic mode is +-=[aAcCdDeijsStTu].,chattr - change file attributes on a Linux file system chattr changes the file attributes on a Linux file system.The format of a symbolic mode is +-=[aAcCdDeijsStTu].
chcat - change file SELinux security category,Change/Remove the security category for each file or user.Use +/- to add/remove categories from a file or user.,chcat - change file SELinux security category Change/Remove the security category for each file or user.Use +/- to add/remove categories from a file or user.
chcon - change file SELinux security context,"Change the SELinux security context of each FILE to CONTEXT. With--reference, change the security context of each FILE to that of RFILE.","chcon - change file SELinux security context Change the SELinux security context of each FILE to CONTEXT. With--reference, change the security context of each FILE to that of RFILE."
